filename,Page,sentence
Advantages of mixed-age free play in elementary.pdf,3,"Mixed- aged classrooms have been shown to be effective, as older children have opportunities to be leaders and teachers montessori 1979), younger children can benefit from the modeling of older children (Kappler & Roellke, 2002), and teachers are able to provide differentiated developmentally appropriate curriculum to the range of students (Kappler & Roellke, 2002; Lloyd, 1999)."
Advantages of mixed-age free play in elementary.pdf,3,"Yet only a handful of studies (Gray, 2013, 2017; Stone, 2017; Stone & Burriss, 2019) have specifically explored the benefits of mixed age grouping in play largely because of the continued practice of age segregation in classrooms and on playgrounds gray2013 an even smaller number of studies have examined multiage outdoor play beresin2010 brown taylor 2008gray2013gray & Feldman, 2004; Holmes, 2012; Rouse, 2015), and this is the first study to specifically examine Let Grow Play Club."
Advantages of mixed-age free play in elementary.pdf,3,"This research is a single case study (Yin, 2018) of one U.S. public elementary school that places great value on recess and mixed-age groupings."
Advantages of mixed-age free play in elementary.pdf,3,A single case study inquiry relies on multiple sources of evidence to uncover phenomena in real-world situations
Advantages of mixed-age free play in elementary.pdf,3,The district implemented Let Grow Play Club https let grow org before school one day per week for students in kindergarten to grade 5.
Advantages of mixed-age free play in elementary.pdf,3,"Let Grow Play Club is a non- profit organization co-founded by Lenore Skenazy (2010), author of Free Range Kids: how to raise safe self reliant children to help families and communities bring un struc tured playback to schools and communities specifically let grow play club is a before or after school program where students can engage in free play in mixed age groups out doors."
Advantages of mixed-age free play in elementary.pdf,3,"Tools for play are available (jump ropes, balls, cardboard boxes) and adults are there to oversee activities but the stress is on children developing games and negotiating peer interactions without adult interference"
Advantages of mixed-age free play in elementary.pdf,3,the school district located in new york usa followed new york state department of education nysed frameworks for social emotional learning sel nysed s frame work was established to maintain a safe and supportive school environment in order for students to develop social and emotional competencies
Advantages of mixed-age free play in elementary.pdf,3,"The superintendent also estab- lished standards for his school district that consisted of four components Physical growth, Emotional growth, Academic growth, and Social Growth (PEAS)."
Advantages of mixed-age free play in elementary.pdf,3,He believed
Advantages of mixed-age free play in elementary.pdf,4,"international journal of play 77 that each component was equally important as the others and included emphasis on play including mixed-age play, for child development"
Advantages of mixed-age free play in elementary.pdf,4,"This study is part of a collaboration between a northeastern private university and a public elementary school to investigate the perceived advantages of mixed-age play from the perspective of key stakeholders specifically teachers, parents, and students."
Advantages of mixed-age free play in elementary.pdf,4,using both qualitative and quantitative data we investigate the following research ques tion what are the perceptions of children teachers and parents experiencing a mixed age before school Play Club?
Advantages of mixed-age free play in elementary.pdf,4,theoretical perspective on mixed-age play: Vygotsky Vygotsky’s (1978) theories offer an optimal platform to examine multiage groupings during unstructured play and the naturally occurring interactions between children of different ages he discusses the zone of proximal development zpd defined as the dis tance between the actual development level as determined by independent problem solving and the level of potential development as determined through problem solving under adult guidance or in collaboration with more capable peers’ (p. 86).
Advantages of mixed-age free play in elementary.pdf,4,According to vygotsky s theory the more competent person expert provides the less competent person (‘novice’) with support and guidance to achieve a task the novice would not be able to achieve without help.
Advantages of mixed-age free play in elementary.pdf,4,"The older child in a mixed-age grouping during recess can support a younger child in climbing the monkey bars, playing a game of soccer, or shooting a basketball"
Advantages of mixed-age free play in elementary.pdf,4,"Bodrova and Leong (2017) contend that ZDP concept needs to be expanded beyond the adult or experienced peer to include interactions in various social contexts they note while multi age groups with older children function ing as play mentors used to be a common feature of the culture of childhood in many Western countries, today these kind of interactions are less and less common’ (p. 66)."
Advantages of mixed-age free play in elementary.pdf,4,Play is co constructed by a child in interactions with other people and in mixed-age groups older children can serve as natural play mentors to younger ones.
Advantages of mixed-age free play in elementary.pdf,4,"Vygotsky (1978) based his theory on the ideas that children learn from one another who differ in age, ability, gender, and special needs."
Advantages of mixed-age free play in elementary.pdf,4,The Vygotskian view of play through a cultural historical lens means that play typically emerges through social inter actions with peers.
Advantages of mixed-age free play in elementary.pdf,4,In mixed-age unstructured play groupings older children often operate within the younger child’s zone of proximal development (ZPD).
Advantages of mixed-age free play in elementary.pdf,4,"scaffolding occurs in mixed-age play as a way of supporting younger children to a level that makes games enjoyable and older children often do not provide more help than the younger children wants or needs (Gray, 2013)."
Advantages of mixed-age free play in elementary.pdf,4,Play can lead to developmental accom- plishments of younger and older children as they interact with one another in the social environment of play.
Advantages of mixed-age free play in elementary.pdf,4,"Mixed-age groupings in classrooms Mixed-age grouping can influence young children’s social development and prosocial behaviors (Gray, 2011, 2013; Murphy, Doherty, & Kerr, 2016; Stone & Burriss, 2019)."
Advantages of mixed-age free play in elementary.pdf,4,"Older children in mixed-age classroom settings learn patience and tolerance, while being role models to younger children."
Advantages of mixed-age free play in elementary.pdf,4,"The younger children played in more complex ways and behaved more maturely (Goldman, 1981; Howes & Farver, 1987; Logue,"
Advantages of mixed-age free play in elementary.pdf,5,78 hm parrott and le cohen 2006).
Advantages of mixed-age free play in elementary.pdf,5,"By watching older children, the younger children also develop skills around conflict resolution and important life skills, such as courtesy and manners (Katz et al., 1990)."
Advantages of mixed-age free play in elementary.pdf,5,murphy et al
Advantages of mixed-age free play in elementary.pdf,5,2016 describes two settings in northern irish primary schools for chil dren 3to6 years that implemented Golden Key principles
Advantages of mixed-age free play in elementary.pdf,5,"Golden Key principles include mixed age play family involvement meaningful lessons or events differentiated lessons for younger and older children, and pairing two teachers to ask children ques- tions."
Advantages of mixed-age free play in elementary.pdf,5,integration of Vygotskian principles and the Golden Key principles of mixed- age play and enhanced homeschool links resulted in improvements in childrens learn ing and social interactions
Advantages of mixed-age free play in elementary.pdf,5,"Teachers reported improved social interactions of children ‘that implied trust, care, and respect’ (p.142)."
Advantages of mixed-age free play in elementary.pdf,5,Mixed age play in a homeschool family pedagogy resulted in older children looking after younger children and childrens feelings of being cousins in their school family playgroups
Advantages of mixed-age free play in elementary.pdf,5,howesandfarver1987 observed two year olds and five year olds playing in pairs both age mixed and age segregated they found that two year olds in mixed aged pairs engage in more complex play.
Advantages of mixed-age free play in elementary.pdf,5,Findings demonstrated that five year olds played at the same advanced level when paired with two year olds drawing the toddlers into their play by providing them with appropriate props and telling them how to use the props.
Advantages of mixed-age free play in elementary.pdf,5,"These younger children engaged in cooperative social, and pretend play with five- year-olds, beyond their capabilities with their own peers."
Advantages of mixed-age free play in elementary.pdf,5,"Goldman (1981) found that both 3and4 year olds in mixed-age preschools engaged in less parallel play as com- pared to associative or cooperative forms of play, relative to those children in same age classrooms"
Advantages of mixed-age free play in elementary.pdf,5,"Logue (2006) reported a teacher research project on the interaction between toddlers and preschoolers in a small child care center the observations revealed aggressive behaviors, such as hitting, kicking, spitting, taking objects, and demanding objects, were reduced in multiage groups compared to behaviors in same-age groups."
Advantages of mixed-age free play in elementary.pdf,5,Children shared more objects and imitated language at higher rates in multiage groups compared to same age groups.
Advantages of mixed-age free play in elementary.pdf,5,"Positive social interactions are found in preschool classes, as well as in mixed-age groups with a wider age range."
Advantages of mixed-age free play in elementary.pdf,5,Gray and Feldman (2004) describe play and mix-age grouping in a school of children ages four to nineteen in Sudbury Valley School.
Advantages of mixed-age free play in elementary.pdf,5,They found older students served as role models and showed responsibility for their behaviors as role models.
Advantages of mixed-age free play in elementary.pdf,5,"Further, ‘the interactions with older adolescents in the school often led children to act within their zone of proximal development (p. 139)."
Advantages of mixed-age free play in elementary.pdf,5,According to gray2011mixedage groupings allow older children the occasion to practice nurturing and leading.
Advantages of mixed-age free play in elementary.pdf,5,Older children can be the mature ones in the interactions and therefore benefit by practicing their nurturance and leadership demonstrating more kindness and compassion toward children who are at least three years younger than themselves
Advantages of mixed-age free play in elementary.pdf,5,"There are also documented academic benefits to mixed-age groupings in elementary school classrooms christie stone 1999cronin2019roopnarine johnson 1983 young children benefit when they mix with older children who can read, write, use numbers and incorporate these skills in their social play."
Advantages of mixed-age free play in elementary.pdf,5,"With older children being more literate and numerate, they tend to scaffold their younger peers in acquiring skills in reading, math, and writing during play scenarios."
Advantages of mixed-age free play in elementary.pdf,5,"Christie and Stone (1999) found that in a mixed-age group of kindergarten first, and second grade, kindergarten children engaged in twice as many literacy activities while playing in the socio dramatic"
Advantages of mixed-age free play in elementary.pdf,6,international journal of play 79 play than kindergarten children grouped with children of the same age.
Advantages of mixed-age free play in elementary.pdf,6,The mixed-age group k2 engaged in a larger amount of collaborative literacy than the same age group of kindergarten children.
Advantages of mixed-age free play in elementary.pdf,6,The combination of literacy experts with literacy novices increased the literacy experiences in the socio dramatic play center.
Advantages of mixed-age free play in elementary.pdf,6,"While many studies have found benefits for all children, some longitudinal studies (Bailey, Burchinal, & mcwilliams 1993; Moller, forbes jones & Hightower, 2008; Winsler et al., 2002) have found that younger children may benefit more from a mixed-age classroom environment than older children."
Advantages of mixed-age free play in elementary.pdf,6,Bailey et al.
Advantages of mixed-age free play in elementary.pdf,6,"(1993) discovered that children in the mixed-age classes scored higher than children in the same age classes between 2-and-4 years of age, but the trend reversed for the oldest children."
Advantages of mixed-age free play in elementary.pdf,6,"winsleretals2002 studied sustained attention social affiliation and affect expression with 3and4 year olds findings suggest that 3 year olds did better in mixed age class rooms but over time, 4 year olds were less focused and task oriented."
Advantages of mixed-age free play in elementary.pdf,6,Children of both ages demonstrated significantly more positive effects such as laughter and smiles in mixed-age classrooms
Advantages of mixed-age free play in elementary.pdf,6,Moller et al.’s (2008) longitudinal study investigated preschool age composition with 806 preschool children in 70 classrooms for age specific benefits relevant to younger children in mixed-aged classes.
Advantages of mixed-age free play in elementary.pdf,6,Although the authors used two valid and reliable early childhood assessments (i.e.
Advantages of mixed-age free play in elementary.pdf,6,"Child observation Record, COR and Early Childhood environment Rating Scale – Revised) at two time points approxi- mately 6 months apart, findings contradicted advocates of mixed-age research (Katz et al., 1990; Stone, 2010; Stone & Burriss, 2019)."
Advantages of mixed-age free play in elementary.pdf,6,A wide range in children’s age within classrooms were negatively related to development and greater variance in classroom developmental age composition were stronger for children older in developmental age.
Advantages of mixed-age free play in elementary.pdf,6,"From a theoretical Vygotskian perspective the authors’ data support the interpretation of the Vygotskian model that claim that variation in age and ability could be less ben- eficial to older children (Moller et al., 2008)."
Advantages of mixed-age free play in elementary.pdf,6,"According to Vygotsky (1978), development occurs most rapidly when children col- labor ate with other children there appear to be benefits to mixed age grouping in play contexts as well as in classrooms with toddlers preschool and school age children the empirical studies suggest possible costs for older children in classrooms but Gray’s (2013) extensive qualitative data on interactions between adolescents (ages 12–19) and children (ages 4–11) seem to demonstrate that the advantages of age mixing go in both directions (p. 197)."
Advantages of mixed-age free play in elementary.pdf,6,"Mixed-age play outdoors Several researchers have examined mixed-age outdoor play in a private school (Gray, 2013), elementary school playground (Beresin, 2010), and adventure playgrounds and Playwork (Brown & Taylor, 2008) and found social emotional benefits to mixed-age play."
Advantages of mixed-age free play in elementary.pdf,6,Gray and Feldman (2004) coded 196 vignettes of mixed-age play interactions observing adolescents (age 12 and older) and young children (under age 12) at sudbury valley school of the 196 vignettes gray and feldman 2004analyzed24vign ettes of the domain formal physical games the authors noted that adolescents and chil dren often interacted because they ‘shared enjoyment of vigorous physical play.’ ‘The adolescents scaffolded and interacted with the younger children to help them exercise physical skills that they would not have been able to exercise alone or with age-mates’
Advantages of mixed-age free play in elementary.pdf,7,"80 hm parrott and le cohen (Gray & Feldman, 2004, p. 129)."
Advantages of mixed-age free play in elementary.pdf,7,"The adolescents challenged but did not overwhelm younger children, and the children modified the rules and game goals to make the games challenging and fun for themselves"
Advantages of mixed-age free play in elementary.pdf,7,beresins2010 longitudinal ethnographic study documents recess and the culture of mixed age play in a working class multiracial public elementary school in philadelphia between 1991and2004 recess followed lunch which had three grades together be resin 2010 focused on lunch recess of grades 3to6 personal email communication be resin 25 august 2019
Advantages of mixed-age free play in elementary.pdf,7,"Beresin 2010 describes how mixed age children beyond the surveil lance of adults, create stories, rhymes, songs, and games such as hopscotch wrestling, and basketball"
Advantages of mixed-age free play in elementary.pdf,7,"Audio and videotaped student interviews and commentaries of social interactions document the ways children negotiated such things as taking turns, using space, and making friends."
Advantages of mixed-age free play in elementary.pdf,7,Mixed-age recess for ethnically diverse elementary school children provided a powerful space for learning how to form friendships and social networks.
Advantages of mixed-age free play in elementary.pdf,7,"Outside of a school setting, multiage outdoor settings also take place on adventure playgrounds and neighborhoods"
Advantages of mixed-age free play in elementary.pdf,7,"Adventure playgrounds have roots in the principles of Playwork in the United Kingdom (Brown & Taylor, 2008; Wilson, 2010)."
Advantages of mixed-age free play in elementary.pdf,7,Playwork is a child centered approach to outdoor play with mixed-age groupings.
Advantages of mixed-age free play in elementary.pdf,7,"It is a pro- fessional, non directive and reflective approach supported by play workers in schools, parks and a range of other settings (Brown, 2009)."
Advantages of mixed-age free play in elementary.pdf,7,Adventure playgrounds provide free multi-age play spaces to help children develop creativity and confidence
Advantages of mixed-age free play in elementary.pdf,7,"There is minimal adult supervision and a wide range of culturally diverse, mixed-aged children playing together the play worker understands that childrens play must be unadulterated by their agenda according to wilson 2010 play workers leave the children free to play for themselves but intervene in carefully measured ways to support the play process’ (p. 9)."
Advantages of mixed-age free play in elementary.pdf,7,Both older and younger children benefit from play on adventure playgrounds
Advantages of mixed-age free play in elementary.pdf,7,"Older children take on the role of tutor, nurturer, and mediator of conflicts while playing, while younger children learn new skills and develop positive self esteem s"
Advantages of mixed-age free play in elementary.pdf,7,"Both older and younger children are challenged and learn to take risks as they socially interact with recycled materials, often called loose parts."
Advantages of mixed-age free play in elementary.pdf,7,"perceptions of mixed-age play Adults sometimes feel anxious about children’s safety in mixed-age play environments (Play Safety Forum, 2017; Skenazy, 2010)."
Advantages of mixed-age free play in elementary.pdf,7,"This can also be true of teachers that work in mixed-aged classes (Button & Wilde, 2019; Rouse, 2015)."
Advantages of mixed-age free play in elementary.pdf,7,"For example, Rouse (2015) found that staff at an Australian daycare center reported positive social learning outcomes of mixing ages such as empathy, caring, risk taking, and resilience but pre- ferred segregating children under 2 years of age from preschool children for safetypre- cautions button and wilde2019 found similar concerns in their study of forest school practitioners and their attitudes toward the risk of delivering mixed age outdoor play ses sions forest schools are child centered adult facilitated and play based with access to woodland button wilde2019p26 staff were initially concerned about risky play in the woodlands before delivering sessions to multiage children however they were able to justify the developmental and emotional benefits of children working and learning outdoors in mixed-age groupings."
Advantages of mixed-age free play in elementary.pdf,8,"international journal of play 81 Several studies (Byrnes, Shuster, & Jones, 1994; Edwards, Blaise, & Hammer, 2009; McClellan & Kinsey, 1999) have examined parents’ as well as teachers’ and children’s perceptions of social behaviors in mixed aged classrooms"
Advantages of mixed-age free play in elementary.pdf,8,byrnes et al
Advantages of mixed-age free play in elementary.pdf,8,1994 surveyed the attitudes of children and parents in a multiage primary level ages68 program the parents felt positively about the multiage structure as well as the social and academic pro gress their children made.
Advantages of mixed-age free play in elementary.pdf,8,"Parents did have concerns that older and/or gifted children were not adequately challenged the students had similar views some children preferred graded classrooms and expressed concerns about ‘helping younger children too much’ (Byrnes et al., 1994, p. 20)."
Advantages of mixed-age free play in elementary.pdf,8,"Teachers’ perceptions of preschool mixed-aged groupings from a post developmental framework was explored to investigate complexities and issues associated with multiage grouping edwards etal2009 the teachers understood ‘multiage grouping as supporting children’s learning, assisting children in the manage- ment of positive peer group relations and reducing the stress of working in chrono log i cally based groupings p6mcclellanandkinsey1999 used a teacher rating scale to examine children’s social behaviors in 29 multiage classrooms in first to fifth grades"
Advantages of mixed-age free play in elementary.pdf,8,"Sixty-five percent were from middle income families, and thirty five percent were from low-income homes."
Advantages of mixed-age free play in elementary.pdf,8,The results suggested a significant positive effect on prosocial behaviors specifically aggressive prosocial friendship behaviors.
Advantages of mixed-age free play in elementary.pdf,8,"Teachers noted fewer children experienced social isolation, and aggressive behaviors were significantly less in mixed-aged classroom."
Advantages of mixed-age free play in elementary.pdf,8,"In sum, according to Vygotsky (1978), development occurs most rapidly when chil- dren collaborate with other children there appear to be benefits to mixed age grouping in play contexts, as well as in classrooms with toddlers, preschool and school-age chil- dren."
Advantages of mixed-age free play in elementary.pdf,8,"The empirical studies suggest possible costs for older children in classrooms but Gray’s (2013) extensive qualitative data on interactions between adolescents (ages 12– 19) and children (ages 4–11) seem to demonstrate that the advantages of age mixing go in both directions p197 parents often have concerns about the safety of their chil dren in mixed-age play (Gray, 2011; Skenazy, 2010)."
Advantages of mixed-age free play in elementary.pdf,8,"While teachers see the benefits of risky play in mixed-aged outdoor play (Button & Wilde, 2019), there is a paucity of research related to mixed-age play outdoors during recess, and during Let Grow Play Club."
Advantages of mixed-age free play in elementary.pdf,8,"A handful of researchers (Byrnes et al., 1994; Edwards et al., 2009; McClellan & Kinsey, 1999) have assessed parent, teacher, and children’s perceptions of mixed-age play in the context of classrooms not outdoor play."
Advantages of mixed-age free play in elementary.pdf,8,"Method qualitative and quantitative data were collected that draw upon child interviews teacher interviews and parent surveys to examine perceptions of multiage play during a session of Let Grow Play Club at a Long Island, New York elementary school."
Advantages of mixed-age free play in elementary.pdf,8,"The Long Island school in this study implemented Let Grow Play Club for one hour before school every friday each session of play club was for 10 weeks took place outside whenever weather permitted, and contained child participants in grades kindergarten to fifth grade there were a variety of materials available for kids to play with during play club that were not typically available during regular recess periods including bouncy balls jump ropes hula hoops, Nerf balls, and wands with streamers."
Advantages of mixed-age free play in elementary.pdf,8,Playground equipment was available for children to play on during both recess and Play Club.
Advantages of mixed-age free play in elementary.pdf,9,82 hm parrott and le cohen participants The elementary school contains approximately 460 children between kindergarten and fifth grade.
Advantages of mixed-age free play in elementary.pdf,9,"According to 2017 National Center for Education Statistics (NCES) data, 36.5% of students at the school come from low-income backgrounds as measured by the percentage who receive free or reduced lunch."
Advantages of mixed-age free play in elementary.pdf,9,"The student body is predominantly white – 62.4% of students are white, 29.5% Hispanic, 2.2% Black, 2.6% Asian, and 3.3% two or more races."
Advantages of mixed-age free play in elementary.pdf,9,the school has 40 minute mixed age recess everyday and a number of different play environments (i.e.
Advantages of mixed-age free play in elementary.pdf,9,"discovery center, small gym, large gym, outdoors)."
Advantages of mixed-age free play in elementary.pdf,9,"Thus, Let Grow play club was more an extension of existing school and district philosophy than a devi ation from it."
Advantages of mixed-age free play in elementary.pdf,9,Play Club children came to school at 8 am on Friday.
Advantages of mixed-age free play in elementary.pdf,9,"The school day does not begin until 9:05 am, so Play Club participants did not miss any of the regular school day."
Advantages of mixed-age free play in elementary.pdf,9,parents were responsible for transportation many families carpooled some parents had assistance from relatives and some children were enrolled in a before care program chil dren were chosen for play club based on a lottery system a letter from the principal was sent home describing play club see appendix a parents signed consent forms and 100 children from grade dk5approximately16per grade were chosen to participate in a 10 week session in the fall and again in a10 week session in the spring session children who participated in the fall were excluded from the lottery in the spring we conducted our interviews and surveys throughout the fall session.
Advantages of mixed-age free play in elementary.pdf,9,"Of the 100 students involved in Play Club, we sent letters and consent forms home to parents asking permission to interview their children about Play Club."
Advantages of mixed-age free play in elementary.pdf,9,We only interviewed children who returned their parent permission forms – 47children total.
Advantages of mixed-age free play in elementary.pdf,9,"in addition to children six classroom teachers participated in the study and responded to interview questions about play recess and mixed aged groupings the principal sent an email to all teachers asking if anyone would be willing to do a brief interview about recess and play club a total of six expressed an interest to be interviewed and we inter viewed them the following day two of these teachers had been involved in monitoring Play Club, and all had students who participated in Play Club."
Advantages of mixed-age free play in elementary.pdf,9,Parents were surveyed at the end of the ten-week Let Grow Play Club to determine their views on their children’s overall experiences in the program.
Advantages of mixed-age free play in elementary.pdf,9,These surveys were sent home to all parents whose children attended Play Club and were returned by 55 families.
Advantages of mixed-age free play in elementary.pdf,9,"Data collection We received approval study from our university s institutional Review Board, the dis- trict’s superintendent and the school principal."
Advantages of mixed-age free play in elementary.pdf,9,"Teachers signed inform consent forms before being interviewed anonymous parent surveys had informed consent cover pages, and we received signed parental permission before all child interviews"
Advantages of mixed-age free play in elementary.pdf,9,"For the sake of confidentiality we do not include the names of the school, district, teachers, or children involved in this study."
Advantages of mixed-age free play in elementary.pdf,9,We conducted interviews with both children and teachers based on the ethical stan- dards outlined by the Society for Research in Child development (SRCD) (2007).
Advantages of mixed-age free play in elementary.pdf,9,The
Advantages of mixed-age free play in elementary.pdf,10,international journal of play 83 children were familiar with the researchers that conducted the interviews one researcher was a former teacher in the district the other researcher spent several days prior to the study watching children in classrooms and during recess.
Advantages of mixed-age free play in elementary.pdf,10,We interviewed children attending Let Grow Play Club immediately following Play Club outside of each child’s classroom.
Advantages of mixed-age free play in elementary.pdf,10,Classroom teachers set up two chairs facing one another in the hallway for individual interviews
Advantages of mixed-age free play in elementary.pdf,10,The researchers treated children as social agents and always asked them if they were comfortable being tape recorded woodhead faulkner 2008
Advantages of mixed-age free play in elementary.pdf,10,"The sample was comprised of a total of 47 children: six kindergarten students, six first grade students six second grade students six third grade students twelve fourth grade stu dents, and eleven fifth grade students."
Advantages of mixed-age free play in elementary.pdf,10,Children were interviewed immediately after play club.
Advantages of mixed-age free play in elementary.pdf,10,We asked questions and collected data related to their experiences during Let Grow Play Club.
Advantages of mixed-age free play in elementary.pdf,10,For purposes of this paper we have analyzed the questions specifically related to mixed-age play: Did you play with any children older than you?
Advantages of mixed-age free play in elementary.pdf,10,How did it make you feel when a bigger child played with you?
Advantages of mixed-age free play in elementary.pdf,10,Did you play with any children younger than you tell me about the time you helped a child who looked sad or left out during play club
Advantages of mixed-age free play in elementary.pdf,10,we additionally conducted interviews with six teachers within the school two kinder garten teachers three first grade teachers and one fifth grade teacher the teachers had taught in the school between 1and20 years with an average of 1267 years these inter views lasted between 8 and 19 minutes.
Advantages of mixed-age free play in elementary.pdf,10,"We decided to interview teachers after we had started our analysis of the child interviews in hopes of getting the teachers perspectives on a few main themes we chose to do focused interviews related to changes in recess the various play environments in the school the perceived benefits of unstructured play and the perceptions of mixed age play the emphasis in this paper is obviously on mixed age play, and thus our analyses center on teachers’ answers to the following questions: Do you see any benefits to mixed-age play in Play Club and recess?"
Advantages of mixed-age free play in elementary.pdf,10,"If so, what?"
Advantages of mixed-age free play in elementary.pdf,10,Can you give me an example?
Advantages of mixed-age free play in elementary.pdf,10,"Finally, a total of 55 parents were anonymously surveyed just after their child(ren) completed PlayClubin the fall the surveys contained a series of likert scale questions assessing the importance of different components of play there is little to no quantitative data examining mixed-age play, so our use of this quantitative data is a significant addition to this body of literature"
Advantages of mixed-age free play in elementary.pdf,10,Data analysis quantitative data from parent surveys were all analyzed using spss all variables in our observation data are dummy coded with 1 indicating the presence of the behavior likert scale variables from the parent surveys are all 5-point scales where 4 indicates strong agreement.
Advantages of mixed-age free play in elementary.pdf,10,"We used a grounded theory approach (Strauss & Corbin, 1998) to analyze our qualitative data, seeing which themes emerged from our transcribed child and teacher interviews"
Advantages of mixed-age free play in elementary.pdf,10,We went through all of the transcripts using open and then focused coding.
Advantages of mixed-age free play in elementary.pdf,10,Findings the goal of our study was to examine the perceptions of children teachers and parents experiencing outdoor play with mixed ages before school students teachers and parents
Advantages of mixed-age free play in elementary.pdf,11,84 hm parrott and le cohen in this study all expressed enthusiasm about mixed-age play.
Advantages of mixed-age free play in elementary.pdf,11,"Children relayed enthu- siasm about building friendships with children of all ages, parents expressed interest in their children playing with both older and younger children and teachers elaborated on the social benefits of such play building friendships confidence and opportunities to be a role model)."
Advantages of mixed-age free play in elementary.pdf,11,"Children’s perceptions of mixed-age play As seen in Table 1, the majority of children interviewed reported playing with children in different grades than them of kindergarten to fourth graders 667 reported playing with children who were older than them; while 78.05% of first to fifth graders reported playing with children who were younger than them."
Advantages of mixed-age free play in elementary.pdf,11,Children in kindergarten and 1st grade were less likely than older children to report playing with children in different grade levels
Advantages of mixed-age free play in elementary.pdf,11,"the children consistently discussed playing with kids from other grades as something that was unique, fun, or new about Play Club."
Advantages of mixed-age free play in elementary.pdf,11,"This came up even outside of questions that were explicitly about playing with kids of different ages in answering the questions about what made Play Club fun and different, 20 children positively discussed playing with kids who were older or younger than them."
